original_post,image_id
新年夜性侵蔓延欧洲随着科隆性侵案件的进一步曝光在南到瑞士北到芬兰的欧洲各国越来越多的受害者站出来披露了她们的遭遇恐慌正在进一步蔓延瑞典警告女性出门注意安全奥地利警方则因为掩盖移民性侵案的指责而深陷舆论漩涡维也纳警察总监则建议女性不要单独上街,62b31d36gw1ezt1cxbanej20hm0bv75s
wikiedia这下真的不存在了据报道本周三维基百科创始人jimmywale在leaderhieergysummitaia2015上称他将在两周内飞雾霾之都讨论解锁维基百科结果原来只封了中文版的们可能发现了之前遗留的ug现在他们把包括英语在内的其它语种都一起锁了,62b31d36gw1eypp3rqktmj20k00zkdil
这也太狠了埃及首都开罗的elsayad饭馆最近遭到了人称莫洛托夫鸡尾酒的自制瓶装燃烧弹的袭击导致16人葬生火场这家当地特色的供应食物和酒精的店并不是遭遇恐怖袭击也不是间谍组织灭口事后警方的调查发现纵火者是两名青年而纵火的原因居然可能只是为了报复自己被禁止入内,62b31d36gw1eynzdjzp5jj20hm0bb75d
trum禁我入境我就撤资doaldtrum威胁称如果英国决定因为自己关于穆斯林的言论而禁止他入境那么他将撤出原本要投在苏格兰开发项目上的7亿英镑投资目前有57万人联署要求禁止trum入境英国英国议会因此将在1月18日讨论这一提案,62b31d36gw1ezr9r913bpj20hm06adgg
小黄鸭恶搞isis网络恶搞者们iteretrakter也想为打击伊斯兰国出份力这是他们最新的行动,62b31d36gw1eyhtiyos54j20hm0b0q4l
［关注叙利亚局势］联大三委刚刚以115票赞成15票反对51票弃权通过决议最强烈地谴责叙利亚当局自2011年以来对其本国人民持续不断的武装暴力强烈谴责所有针对平民实施的践踏和侵犯国际人权法行为并表示国际刑事法院可在追究责任方面发挥作用中国古巴朝鲜俄罗斯等15国投了反对票,65dfab2dgw1ey723fryqgj21hc0u04c4
脑洞大开那些呆萌的一战武器装备,62b31d36gw1ey7af0mtetj20qq0npalb
一名自杀袭击者持有叙利亚护照正在追查袭击者身份的法国警方在企图冲入法兰西体育场未果而自爆的一名袭击者身上发现了一本叙利亚护照不过由于大量入境欧洲的移民持有伪造叙利亚护照目前尚不能肯定其真实国籍这名袭击者及另一同伴昨晚在法兰西体育场外实施自杀爆炸袭击造成了6人死亡,62b31d36gw1ey0u7esaibj20hm0inn2t
印度成为全球钢铁业火车头？钢材价格暴跌加上中国产的钢材充斥国际市场使全球钢铁业陷入低迷然而相比之下印度市场有几点理由值得看好国际钢铁协会总干事埃德温•巴松表示真的只有一个地方具备让全球钢铁市场摆脱当前低迷的长期潜力那就是印度印度成为全球钢铁业火车头？,6538fd8cjw1ezgcgb0993j20go09eab8
光明山体滑坡快了快了离生命奇迹只有5米了据现场记者发回报道现在图中为四楼生命迹象在一楼或者二楼中山消防救援队加油记者江田力,720be4e5gw1ez7c7ycg7kj21630vkwpt
北京大雪北京出发高铁列车大部分晚点受大雪天气影响北京出发的大部分高铁晚点超过2小时以上下午3时左右大屏上显示的几乎所有车次都晚点未定工作人员称主要是由于高铁动车雪天限速所致同时多地航班取消高速封路请大家雪天安排好出行时间出行路上的小伙伴还好吗？,4ee36f05gw1ey9x40fzjpj20c80c83zy
马里遭袭酒店内部曝光当地时间2015年11月20日武装分子袭击了马里首都巴马科市中心的丽笙酒店挟持了170名人质此次事件中共有3名中国公民遇难案发现场照片显示地板上血迹斑斑墙面上有密集的弹孔桌上还有未能及时带走的护照……马里遭袭酒店内部曝光现场血迹斑斑,4ee36f05gw1ey8n49fv0cj20qe0hlac8
法国将取缔宣扬仇恨的清真寺法国总理瓦尔斯称法国将持续报复is等恐怖势力将持续空袭叙利亚直至is被摧毁此外挑战共和国价值观的清真寺或协会必须解散所有宣扬仇恨的伊斯兰传教士均要被驱逐出境有关团体组织要被取缔法国展开全国密集搜捕将取缔宣扬仇恨的清真寺环球时报,4ee36f05gw1ey3vk3nfhuj20fa0aomxv
美18州州长表态拒收难民在传出巴黎多起枪击爆炸案凶手之一是以叙利亚难民身分进入法国后美国已有18州州长表态拒绝接收叙利亚难民多数州长皆对难民身分安全审查有疑虑称此举目的是保护居民的安全奥巴马政府曾宣布美国要在2016财年接收85000叙利亚难民新浪,70e11e0fgw1ey3l7rs6v6j20e109rq45
尹相杰再次涉毒被抓视频曝光不停后悔叹气11月14日下午朝阳区朝阳北路附近某小区尹相杰再次涉毒被抓视频中他不停叹气表示很惭愧在被问及前两天还做公益时自称你说我这多没脸……有专家表示被判有期徒刑出狱人员5年内再犯属于累犯将从重处罚中新网,4ee36f05jw1ey0tr2aodmj20c8095mxu
广州出现外国乞丐近日广州东站出现了一名外国男子乞讨他自称三个月前仅带了500美金从波兰出发要环游亚洲乞讨是为买车票去昆明但附近街坊都说别信起码在这里十几天了外国人大方都是一两百的给中国人嘛一般给十块二十块一天下来收入估计过千波兰男子广东火车站乞讨,4ee36f05gw1exziyw1w8vj20go0b30t8
一个有趣的事国足门将王大雷的百度贴吧这两天疑似被一个也叫王大雷的村支书买了⋯⋯？知乎地址怎样看待百度贴吧的王大雷吧被一个村主任买走了？-知乎王大雷贴吧网页链接哈哈哈哈哈哈笑了一个上午……,4ee36f05jw1exz6rxgrk4j20go0tmtbj
光棍节两男子为争女友打到头破血流11月11日南京1912广场两男子为争抢女友大打出手据目击者介绍两人先发生争执后殴打起来在殴打的过程中一名男子拿起附近的木招牌砸另一名男子一旁的女子边哭泣边劝架但见拉不住两人便拨打电话求援目前警方正在调查光棍节两男子为争女友quot决斗quot1人头破血流图,4ee36f05gw1exy0mmiu6jj20eg09edgd
俄罗斯官方再辟谣向中国转交土地是假消息当地时间10日俄罗斯外交部表示有关俄方向中国转交47平方千米土地的说法是虚假消息俄中两国间不存在领土争议根据俄中双方2001年7月16日签署的俄罗斯与中国睦邻友好合作条约俄中两国不存在任何领土争端俄罗斯官方再次声明俄向中国转交土地消息不实,4ee36f05jw1exwrxd74rwj20c8098wff
知政响应国家号召河南成立少林足球武校香港电影少林足球的场景将在少林寺所在地登封市变为现实今天河南省青少年少林足球训练基地挂牌成立这家名为少林塔沟的武校拥有近三万名具有武术功底的适龄青少年可以保证足球队员优中选优详见河南成立少林足球武校,60718250jw1exw381lpefj20m80gomyd
一个郑州修路工给他娘写的十封家书看完跪了,6762d6aajw1exthpvb008j20ck0gi75q
郑州一快速路通车5天后被重新挖开近日郑州陇海路与中州大道交叉口的陇海高架地面快速路沥青路面被挖开同时建好的花坛人行道也被挖陇海路快速路11月1日正式开通距今仅5天市民称新铺的沥青路面又被挖开了铺好的绿化也被毁了真可惜目前此事正在调查网页链接,4ee36f05jw1exr451eeflj20p00ijtgc
19岁男孩铁轨自拍逼停列车被罚50011月1日上午19岁ktv服务生陆某为了能在铁轨上拍出帅照手机绑木条上制成自拍杆偷爬进京沪铁路轨道铁路防护网内造成一旅客列车临时停车目前该服务生已被北京铁路警方处以500元的治安处罚对于我们来说今天是新的一天希望今后的每一天北京晨报网都能为您开启新生活这是一种责任同样也是一种莫大的荣幸北晨网提供北京最早最有特色的新闻力争打造北京主流综合新闻信息服务平台,4ee36f05gw1expzemfgn3j20b40etaav
广西3女子赴宴遭官员猥亵1人被打有网帖称17日晚柳州多名领导在会所饮宴酒后对同席女性猥亵不成大打出手造成1女受伤记者采访了3名当事女子并从警方印证了帖中所述部分属实广西纪委4日称对涉事官员严肃处理其中正处级刘汉武已开除党籍公职并移送司法机关广西官员聚众对女子猥亵施暴官方涉事者被严处,4ee36f05gw1expvqkb8rzj20gg0nt0tz
女生遭殴打拍裸照5被告获刑审判长望此案能起警示作用连云港女生遭多名女生剥衣殴打并拍裸照引起广泛关注近日法院判决4名施暴女生犯故意伤害罪强制侮辱妇女罪获刑2年半至6年半不等另一涉案男生犯故意伤害罪获刑6个月据悉案发时3名被告仍为未成年央视新闻江苏连云港女大学生遭殴打被拍裸照5名被告获刑,4ee36f05gw1expszdc6yhj20c8091aao
新浪独家南航集团总经理下午被中纪委带走新浪航空获悉司献民是于今天下午被中纪委带走的晚上19时10分中纪委网站即发布消息通报其落马另据航钛消息司献民是坐飞机被带到北京的新浪航空还了解到今天南航另有三名高管被约谈南航总经理今日被中纪委带走,60718250jw1exp7q7askfj20c80a13zb
重庆15岁少年强奸9岁女孩未遂竟恐吓致其坠楼身亡2日上午9岁女孩曹某被人发现在小区坠亡警方后将犯罪嫌疑人苏某男15岁抓获据苏某交代因1日下午在小区电梯遇女孩见其孤身一人就骗至家中欲强奸女孩反抗苏某害怕被告发将其推上窗户恐吓致其坠楼身亡女孩一夜未归后被发现已坠亡,4ee36f05jw1exny7pkd38j209d0dwt9j
拍案江西上饶深夜枪击案致1死3伤昨晚11点左右上饶市茶圣路的烧烤摊发生枪击事件有4名人员受伤其中1人抢救无效死亡伤口为枪伤详见江西上饶当街枪击案已致1死3伤,60718250jw1exnndk32i8j20gc0alwfd
中国水土流失面积占国土3成每年损百万亩耕地我国首部国家级水土保持规划获批水土保持或将进入新时代第一次全国水利普查显示我国水土流失面积294万平方公里占国土面积三成全国年均损失耕地100万亩黄土高原严重区每年流失表土1厘米以上东北黑土地变薄中国水土流失面积占国土3成,4ee36f05gw1exnh44pv0mj20rs0hvq87
深圳戴械具脱逃嫌犯或已更换便服警方悬赏提至20万近日深圳恶性案件嫌犯潘明滩在被深圳警方带到惠州市博罗县指认丢弃作案工具现场时脱逃嫌犯逃跑时手戴手铐脚戴脚镣广东省公安厅通报警方悬赏金额已从10万元升至20万元悬赏通告称犯人可能已更换便服via新京报深圳一嫌犯押送惠州取证时脱逃警方悬赏10万缉捕,4ee36f05gw1exmn7jt3ohj20b80fwq3y
金正恩痛悼金养建仿佛只要呼唤一声他就会睁眼起身朝中社报道金正恩30日前往金养建灵堂表示哀悼报道称金正恩将手放在遗体上悲痛心情久久不能平复金正恩说仿佛只要呼唤一声金养建就会睁眼起身朝鲜劳动党中央书记兼统战部长金养建29日死于车祸朝媒金正恩吊唁金养建手放遗体心情久久难平复图,4ee36f05gw1ezio4pkcebj20fk0b440y
hiee完美跳跃12月24日海信集团正式签约中国国家体操队成为其官方合作伙伴海信旗下的电视冰箱空调洗衣机和手机等产品将陪伴中国体操队员征战2016年主要赛事从而拉开海信巴西奥运会品牌营销的序幕,4ff387a2jw1ezbq956chjj21kw11xnav
夫妻认人贩父母为干爹妈只为找被拐儿子线索曹美玲广西人十年前儿子被拐作案者是湖南人陈广兴曾是杀人犯她想过报复人贩一家后来选择感化他们以搜集信息她帮人贩父母干活认他们为干爹妈他们被感动痛骂儿子对不起她至今没人知道陈广兴在哪孩子也没找到儿子被拐卖女子寻子10年认人贩父母为干爹妈,4ee36f05gw1ezbq0uqucoj20f00mdmz6
热点深圳滑坡救援队救出一只鸡23日中午在大约6米的建筑废墟下深圳光明区消防队救出了一只活鸡杨队长介绍他们早上六点在此处搜救破拆期间监测到水泥下方有活物移动便立即搜救没想到救出来的是一只鸡杨队长表示这只鸡以后要在队里养着因为它代表着希望深圳滑坡救援队救出1只鸡,60718250jw1ez9ksyr44zj20c80gbq56
内蒙古检查站遭袭追踪两自首嫌犯系金塔县双湾村支书和主任6日凌晨额济纳旗马莲井执法检查站遭近百名蒙面歹徒袭击造成13人不同程度受伤其中6人重伤财产损失初步估计1000万元警方称目前已抓住一人另有两人自首系甘肃金塔县双湾村党支部书记和村委会主任内蒙古检查站遭袭追踪两自首嫌犯系金塔县双湾村支书和村长,4ee36f05gw1ez79c2n6f8j20c806uaa7
新浪独家清华化学实验楼起火爆炸叔丁基锂惹的祸？清华化学实验楼爆炸致一名博士后死亡现场有老师推断可能与个人操作有关知情人透露实验操作与叔丁基锂有关该化学品极易自燃火球还会到处飘新浪新闻出品清华实验室爆炸一博士后身亡叔丁基锂惹的祸？,60718250jw1ez41ru99h7j20fa0kdq5v
云南最美警察被举报玩弄女性举报者称遭恐吓网友王玉梅举报称曾被评为最美警察的苟祯鸿玩弄女性趁受害女性醉酒被其带到单位宿舍发生性关系随后以离婚为由交往当事人两次堕胎举报者称自己多次接到恐吓电话17日上午绥江纪委证实苟祯鸿与女子通奸举报云南最美警察者称遭恐吓纪委已查实不正当关系,005vnhzygw1ez3y1mpv7nj30gl0m8dga
曝村民夫妇被网兜罩住后房屋被拆警方受理案件近日记者接到山东青岛村民爆料称11月27日父母先后被多名不明身份者用网兜捆绑后扔在路边随后自家房屋被一旁守候的挖掘机铲平记者今天下午从当地公安机关获悉目前警方已正式受理此案并对案件展开调查曝村民夫妇被网兜罩住后房屋被拆警方受理案件,4ee36f05gw1eyzbuskep5j20f908lgnj
图看天下济南街头一男子碰瓷失败赖地不起诬陷警察网友爆料称12月11号在济南街头碰到一男子躺在车前碰瓷碰瓷失败后男子反而诬陷到场处置的警察骂他济南街头一男子碰瓷失败赖地不起诬陷警察,4ee36f05gw1eyy1ns6dguj20nc0ewabv
梅艳芳内衣将被拍卖引争议近日梅艳芳遗产信托公司将其3000多件遗物放上网拍卖含有内衣和新秀冠军奖座起步价港币100-10000元不等黄秋生字小草号遠志又名黄老邪怒斥放过她的内衣吧给艺人最后一点尊严譚耀文呼吁停止拍卖遗产公司还有人性吗？详情梅艳芳内衣被拍卖黄秋生怒斥,61e7f4aajw1eyvi8fsnaxj20fa0n6taf
韩红离开部队今日西藏昌都人韩红在微博晒出自己的军装照并配文虽然离开但爱你一生宣布离开部队据悉韩红1987年入伍1995年考入中国人民解放军艺术学院音乐系师从李双江2009年特招入伍空军政治部文工团军衔为技术5级职务为空军政治部文工团副团长详情韩红晒军装泪别部队爱你一生,61e7f4aajw1eyqxgn0bavj208w0dbjrr
媒体足协面临人事调整困局陷入quot宫斗内乱quot正处在去行政化改革关口的中国足协又站在了风口浪尖有媒体称因不满被调离前国奥副领队付玉培直接向中纪委实名举报足协副主席我舍得一身剐也要把魏吉祥拉下马而陷入举报门的魏吉祥被曝已连续缺席足协工作会媒体足协面临人事调整困局副主席陷quot举报门quot,4ee36f05gw1eypr6i0v7hj20dc06rt9f
北京数百商户外迁至廊坊不满1年被逼解约关店白天还在营业晚上就被市场管理方强行关闭贴封条衣服也被清理一空从北京动批迁至廊坊服装城的商户王晓华表示很多搬迁至此的商户经营不到1年即遭强迫解约商铺被关服装城方面称关闭部分商户是为整顿经营环境京外迁廊坊商户被逼解约关店,4ee36f05gw1eyf5nody65j20b90f0aad
成都疑似巨响成都各个方位都有网友听到巨大声响求解惑平安成都成都市公安消防支队,6250e764gw1eyebviyr7wj20ci0ez40u
安徽现奇葩份子钱同事结婚送礼金条安徽合肥一企业上班的蒋先生整理结婚时同事送的红包发现有3个红包内装的是粉红色纸条上写礼金三百或二百月底发工资时奉上新郎蒋先生说现在很多员工都不愿参加同事婚礼不想出份子钱但没想到有人会想出打礼金条的主意安徽现奇葩份子钱同事结婚送礼金条,684ebae3jw1ezx0037e0aj20r80kfwh4
缝衣针扎入孩子身体狠心保姆获刑1年29岁的女子杨某来北京帮亲戚带孩子因与孩子的父母有矛盾她蓄意准备了两根分别长1cm28cm的针扎入了年仅2岁的孩子臀部孩子父亲发觉孩子异常后报警并将孩子送医终将针取出今天石景山法院以故意伤害罪判处杨某有期徒刑1年北青报记者孔德婧,684ebae3jw1eyle0eitw0j20zk0qogo5
王洪钟涉嫌受贿受审其为北京第一位落马的局级官员被控利用职务之便涉嫌受贿和滥用职权罪涉案金额1000余万元今天上午原北京门头沟区区长王洪钟在市二中院受审其辨护人称将为其做罪轻辩护并称王洪钟一直表示认罪市纪委曾将其问题专门制作成警示片门头沟区区长王洪钟涉嫌受贿和滥用职权涉案1000余万上午受审,684ebae3jw1eyk2llsveqj20c8096mxp
江西监狱600多犯人集体跳广场舞27日江西省豫章监狱内响起小苹果江南tyle最炫民族风等乐曲600余名服刑人员劲歌劲舞进行心理健康操和广场舞大赛80名服刑人员的家属也应邀走进高墙观看了比赛江西省豫章监狱监狱长表示就是想用亲情感化服刑人员增强服刑人员的改造热情腾讯,684ebae3jw1eygx6za1rhj20qo0i2djv
夫妻拦下小学生求助被当人贩遭多人围殴昨日一对来自农村的夫妇到郑州银行自助缴款机缴水费因丈夫眼花妻子又不太识字就拦了一个小学生询问结果被孩子家长误认为是人贩子家长还对这对夫妇大打出手经警方调查这对夫妻确实是缴税费的郑州晚报纯属误会人家不是人贩子,684ebae3jw1ey8e48isemj207805gaaj
福建一法官ktv亲吻陪酒女已被停职调查网曝福建漳州漳浦县法院少年庭庭长陈毅东在ktv喝酒并亲吻陪酒小姐漳浦县法院证实图片上的男子确为该院少年审判庭庭长陈毅东负责未成年犯罪的教育帮教挽救及非监禁刑犯的跟踪考察等工作陈毅东已被停职调查南都网曝法官ktv亲吻陪酒女福建漳浦法院已对其停职调查,684ebae3jw1ey7j2xfimvj20c70e074y
慎重53种不需输液的疾病9个抗生素使用的误区11月16-22日是首个世界提高抗生素认识周主题是慎重对待抗生素对于抗生素你了解多少？当你并不需要时别要求医生开抗生素即便感染好转也一定要按疗程服药…谨记能吃药就别打针能打针就别输液!为健康转给家人和朋友人民网,684ebae3jw1ey6l2c64pqj20c80go0vm
江苏规定二级以上医院全面停止门诊输液你还在滥用抗生素吗？近日江苏省出台新规要求到2016年底前除儿童医院全省二级以上医院全面停止门诊患者静脉输液生病时碰到这些抗生素要合理谨慎使用扩散人民日报,684ebae3jw1ey4z4yl2izj20c80c8wg5
晚安流星雨之王就要来了每小时让你许愿20次有流星雨之王称号的狮子座流星雨18日凌晨5时前后光临地球流量或将达每小时20颗找个开阔地放眼整个夜空流星会一颗一颗地从狮子星座向四面八方飞驰只要够幸运你能在一个小时内许愿20次转约ta吧央视新闻,684ebae3jw1ey41nl180uj2096064q2w
三元桥交通管制结束正式通车今天18点三环路临时交通导改将结束该路段将正式通车北青报记者刘珜秒拍视频,684ebae3gw1ey1u3qlrv3j20no0hs0u1
柯基宝宝好像经常一不小心就睡成一个个摊饼好想给他们挨个儿翻面……萌星球,684ebae3jw1ezqq7hueklj20c80gajs4
犍为发生42级地震网友瓦片被震碎据国家地震台网测定北京时间1月3日23时44分四川省乐山市犍为县附近发生42级地震震源深度约12千米据居住在罗城镇的网友介绍地震发生后其自家房顶上的瓦片被震碎玻璃窗破裂墙体出现裂缝罗城初中围墙出现倒塌乐山新闻网,684ebae3jw1eznbtou04wj20c80gagm4
网传山东一初中女生被打被扇20多个耳光近日一初中女生被打的视频网上热传视频里一名长发女生连续扇一名短发女生耳光长发女生边打边朝被打的短发女生大吼调查得知被打女生系黄河涯第一中学初一学生现在正在医院接受治疗目前当地警方已介入调查齐鲁网网传山东一初中女生被打被扇20多个耳光图,684ebae3jw1ezvq4rjvidj20dw0eqjsr
男子持改制射钉器射伤女店员怀中女婴坠地身亡12月30日河南开封市公安局通过官方微博通报祥符区县府东街发生的枪击命案男子因修手机与女店员发生纠纷遂持改制的射钉器到店内将店员射伤并导致店员怀抱的四个月大女儿摔落头部着地身亡事发近3小时后潜逃男子被警方抓获男子持改制射钉器射伤女店员怀中女婴坠地身亡,684ebae3jw1ezi0hctw2tj20c807ldfy
网曝男子踹老太视频涉案男子已被抓获近日网传一男子殴打老人的视频黑衣男子猛踹倒地老人甚至还向老人头部踹去旁边有多人围观拍照不时哄笑据嵊州公安事件发生在浙江嵊州市崇仁镇涉案男子竺某某于今天中午12时许被抓获目前案件正在侦办中秒拍视频,684ebae3jw1ezgh256atvj20c809y74x
进口食品的中文标签去哪了？记者调查发现很多市民依然以为拥有全外文包装的才是真正的原装进口根据国家质检总局相关规定经检验检疫合格具备中文标签的进口食品方可入境销售但在实际销售中中文标签缺席现象仍旧普遍甚至过期的进口食品仍在销售进口食品中文标签为何缺位,684ebae3jw1ezg8065p8pj20b408bmzd
白纸黑字打借条数小时后字迹没了生活中借钱打借条再平常不过但山东一位宁女士遇到一件怪事31万的借条竟变成了一张白纸原先写下的借款内容不翼而飞经专业技术鉴定欠条上确实显现出了笔迹而给宁女士打借条的马某很可能用了消字笔写欠条目前警方正处理此案亲眼看着对方打的借条数小时后竟然字迹全无,684ebae3jw1ezegb6lj5pj20c60ckmxv
急转公安部刑侦局提醒这8种情形肯定是诈骗❶要求你不能挂电话❷要你必须开网银❸要求你为安全不要向任何人说❹要求你找隐蔽地方❺称网站有通缉令并有个人信息❻要你接收检察院执行书传真❼叫你拨114核实❽要你把银行卡的钱转到安全账户遇这些电话直接挂断报警扩散,684ebae3jw1ezdcaatzomj20c80c8q4z
监利一消防员烧成火人跳楼脱险12月17日下午荆州监利一小区发生火灾因为火势太大一名消防员在扑火现场被大火围困身上防火战斗服被烧燃情急之下消防员利用落水管支撑跳楼逃生楚天都市报l监利县容城天骄着火消防员灭火时衣服被烧着湖北监利一小区失火消防员烧成火人引网友牵挂-湖北-转发致敬逆行英雄,684ebae3jw1ez8kdj7mf2j206k09bq2v
深圳山体滑坡事发区域南侧发现生命迹象武警广东总队二支队工化救援中队正在现场挖掘武警交通部队在事发区域第一通道区探测到微弱的生命迹象武警交通部队司令员傅凌坐镇现场指挥目前救援官兵正在全力以赴中国之声,684ebae3jw1ez7fnfb8d8j20c80c875h
女子为他人交通肇事顶包抽血时面带微笑露馅去年9月东莞一汽修厂的员工小陈将一名行人撞飞倒地汽修厂老板杨某提出让女友李梦奚顶包原以为就此盖棺定论一张微笑的照片引起了法官注意法院据此抽丝剥茧查清了真相李梦奚因包庇罪坐上了法庭的被告席广州日报女子顶包肇事案被识破抽血微笑照片露破绽图,684ebae3jw1ez1sgg69hjj208c05jq2z
牛魔王惊现四川重近两吨2016年1月8日四川泸州叙永县某牧场养出了一头牛王品种为西门达尔杂交牛4岁身长26米胸围约3米体重约1780公斤该县畜牧站工作人员称他们也是第一次见如此大的肉牛在川南都可能都是最大的网页链接,684ebae3jw1ezthvm1si4j20ar06o74s
北京地铁2号线男子坠轨受轻微伤已被警察带走今天中午一点半一名男子在2号线雍和宫站坠轨北京地铁介绍十分钟左右乘客被救出受轻微伤随后已交由公安处理目击者介绍乘客20多岁被救出时精神恍惚没有说明坠轨原因目前地铁已经恢复正常运营北青报记者刘珜,684ebae3jw1eyvr4yno6xj20dc0hs75z
浙江一官员错发跑官短信官方已被停职温州一微信公众号发布信息称跑官短信是错发至另一手机用户共发了两遍短信第二遍比第一遍多一个署名经浙江省温州市瓯海区纪委调查核实该短信系区旅游局党组成员纪检组长冯某发送现冯某已被停职检查人民网,684ebae3jw1eyvoqnuh83j20c80dddhm
芈月传战国时装周秦尚黑色魏尚红色楚尚土黄……这些战国时尚姿势你知道多少？金罐加多宝联合时尚芭莎推出时尚科普大片芈月传战国时尚大秀芈月传战国时装周全面解读战国穿衣指南戳大图战国时尚姿势一起get√起来,684ebae3jw1eyvj0ms6bcj20e516gqao
宁波抱火哥煤气罐着火还漏气他毅然抱出昨天上午浙江宁波一民房发生火灾在三楼有个煤气罐燃着烈火还在不停地露气危急关头消防员詹超抱起煤气瓶就往楼下走最终煤气罐被成功转移而此时他的消防手套已被烫焦手指出了水泡转发致敬抱火英雄人民日报图cfp,684ebae3jw1eyuoomh6goj20c806w0t3
高校剁手党排名北大第一复旦第十①北大人均网购支出冠绝全国清华屈居第六②上外排名第五爱买化妆品和游戏币③上海交大五金用品支出全国第一④北大中传中音买dior的最多⑤女生除了爱网购零食还爱买男装这是为什么？dt财经网页链接,684ebae3jw1eytoohcav0j20c80fzgm1
今晨上海地铁故障大量乘客滞留今日早上8点多上海地铁2号线发生列车车辆故障致使2号线由西向东多个车站受到影响站台上挤满了等待的乘客直到9点05分左右故障列车退出运营上海地铁hmetro连续发布8条微博公布突发运营信息并提供致歉信下载新闻晨报,684ebae3jw1eyr4nblwt1j20c8096dgq
